ID;REFERENCIA;NOMBRE;MARCA;REF_FABRICANTE;TIPO;FAMILIA;UNIDAD;COSTE;PVP;ACTIVO;OBSERVACIONES
34;SHY-0034;FrankEver Sprinkler Controller FK-06X;FrankEver;;Hardware;Persianas y motores;Unidad;74,36;87,48;SI;Tarifa instalador junio 2026 (dto 15%)
35;SHY-0035;Shelly Qubino Wave 1;Shelly;Qubino Wave 1;Hardware;Relés y control;Unidad;28,90;34,00;SI;Tarifa instalador junio 2026 (dto 15%)
36;SHY-0036;Shelly Qubino Wave Pro 1;Shelly;Qubino Wave Pro 1;Hardware;Relés y control;Unidad;50,40;63,00;SI;Tarifa instalador junio 2026 (dto 20%)
37;SHY-0037;Shelly Qubino Wave 1PM;Shelly;Qubino Wave 1PM;Hardware;Relés y control;Unidad;29,75;35,00;SI;Tarifa instalador junio 2026 (dto 15%)
38;SHY-0038;Shelly Qubino Wave 2PM;Shelly;Qubino Wave 2PM;Hardware;Relés y control;Unidad;32,30;38,00;SI;Tarifa instalador junio 2026 (dto 15%)
39;SHY-0039;Shelly Qubino Wave Pro 2PM;Shelly;Qubino Wave Pro 2PM;Hardware;Relés y control;Unidad;82,40;103,00;SI;Tarifa instalador junio 2026 (dto 20%)
40;SHY-0040;Shelly Qubino Wave Persiana;Shelly;Qubino Wave Persiana;Hardware;Persianas y motores;Unidad;32,30;38,00;SI;Tarifa instalador junio 2026 (dto 15%)
41;SHY-0041;Shelly Wave i4 LR;Shelly;Wave i4 LR;Hardware;Relés y control;Unidad;26,35;31,00;SI;Tarifa instalador junio 2026 (dto 15%)
42;SHY-0042;Shelly Wave Dimmer (2025);Shelly;Wave Dimmer (2025);Hardware;Iluminación;Unidad;43,35;51,00;SI;Tarifa instalador junio 2026 (dto 15%)
43;SHY-0043;Shelly DALI Dimmer Gen3;Shelly;DALI Dimmer Gen3;Hardware;Iluminación;Unidad;30,71;36,13;SI;Tarifa instalador junio 2026 (dto 15%)
44;SHY-0044;Shelly BLU Door/Window ZB Blanco;Shelly;BLU Door/Window ZB Blanco;Hardware;Sensores;Unidad;12,33;14,50;SI;Tarifa instalador junio 2026 (dto 15%)
45;SHY-0045;Shelly BLU Door/Window ZB Marron;Shelly;BLU Door/Window ZB Marron;Hardware;Sensores;Unidad;12,33;14,50;SI;Tarifa instalador junio 2026 (dto 15%)
46;SHY-0046;Shelly BLU H&T ZB Black;Shelly;BLU H&T ZB Black;Hardware;Sensores;Unidad;13,39;15,75;SI;Tarifa instalador junio 2026 (dto 15%)
47;SHY-0047;Shelly BLU H&T ZB Ivory;Shelly;BLU H&T ZB Ivory;Hardware;Sensores;Unidad;13,39;15,75;SI;Tarifa instalador junio 2026 (dto 15%)
48;SHY-0048;Shelly BLU H&T ZB Mocha;Shelly;BLU H&T ZB Mocha;Hardware;Sensores;Unidad;13,39;15,75;SI;Tarifa instalador junio 2026 (dto 15%)
49;SHY-0049;Shelly Cable Bracket 10-pack for Leak Sensor Cable;Shelly;Cable Bracket 10-pack for Leak Sensor Cable;Hardware;Sensores;Unidad;1,45;1,70;SI;Tarifa instalador junio 2026 (dto 15%)
50;SHY-0050;Shelly BLU Button Tough 1 ZB Black;Shelly;BLU Button Tough 1 ZB Black;Hardware;Sensores;Unidad;12,67;14,91;SI;Tarifa instalador junio 2026 (dto 15%)
51;SHY-0051;Shelly BLU Button Tough 1 ZB Ivory;Shelly;BLU Button Tough 1 ZB Ivory;Hardware;Sensores;Unidad;12,67;14,91;SI;Tarifa instalador junio 2026 (dto 15%)
52;SHY-0052;Shelly BLU Button Tough 1 ZB Mocha;Shelly;BLU Button Tough 1 ZB Mocha;Hardware;Sensores;Unidad;12,67;14,91;SI;Tarifa instalador junio 2026 (dto 15%)
53;SHY-0053;Shelly BLU RC Button 4 ZB;Shelly;BLU RC Button 4 ZB;Hardware;Sensores;Unidad;13,52;15,90;SI;Tarifa instalador junio 2026 (dto 15%)
54;SHY-0054;Shelly Wall Display XL Silver;Shelly;Wall Display XL Silver;Hardware;Relés y control;Unidad;206,98;243,50;SI;Tarifa instalador junio 2026 (dto 15%)
55;SHY-0055;Shelly Wall Display XL- BLACK;Shelly;Wall Display XL- BLACK;Hardware;Relés y control;Unidad;206,98;243,50;SI;Tarifa instalador junio 2026 (dto 15%)
56;SHY-0056;Shelly Wall Display X2i- SILVER;Shelly;Wall Display X2i- SILVER;Hardware;Relés y control;Unidad;128,61;151,30;SI;Tarifa instalador junio 2026 (dto 15%)
57;SHY-0057;Shelly Wall Display X2i- Negro;Shelly;Wall Display X2i- Negro;Hardware;Relés y control;Unidad;128,61;151,30;SI;Tarifa instalador junio 2026 (dto 15%)
58;SHY-0058;Shelly Wall Display Stand White;Shelly;Wall Display Stand White;Hardware;Relés y control;Unidad;16,07;18,90;SI;Tarifa instalador junio 2026 (dto 15%)
59;SHY-0059;Shelly Wall Switch Adapter - Busch-Jaeger;Shelly;Wall Switch Adapter - Busch-Jaeger;Hardware;Red y conectividad;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
60;SHY-0060;Shelly Wall Switch Adapter - Legrand;Shelly;Wall Switch Adapter - Legrand;Hardware;Red y conectividad;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
61;SHY-0061;Shelly Wall Switch Adapter - Gira /Merten;Shelly;Wall Switch Adapter - Gira /Merten;Hardware;Red y conectividad;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
62;SHY-0062;Base de alimentación Shelly para Wall Display - 2 salidas (i-series);Shelly;Base de alimentación Shelly para Wall Display - 2 salidas (i-series);Hardware;Relés y control;Unidad;16,92;19,90;SI;Tarifa instalador junio 2026 (dto 15%)
63;SHY-0063;Shelly Socket for Wall Display Stand White;Shelly;Socket for Wall Display Stand White;Hardware;Relés y control;Unidad;2,47;2,90;SI;Tarifa instalador junio 2026 (dto 15%)
64;SHY-0064;Shelly Socket for Wall Display Stand Black;Shelly;Socket for Wall Display Stand Black;Hardware;Relés y control;Unidad;2,47;2,90;SI;Tarifa instalador junio 2026 (dto 15%)
65;SHY-0065;Shelly Button Add-On White;Shelly;Button Add-On White;Hardware;Sensores;Unidad;5,02;5,90;SI;Tarifa instalador junio 2026 (dto 15%)
66;SHY-0066;Shelly Button Add-On Black;Shelly;Button Add-On Black;Hardware;Sensores;Unidad;5,02;5,90;SI;Tarifa instalador junio 2026 (dto 15%)
67;SHY-0067;The Pill by Shelly;Shelly;The Pill by Shelly;Hardware;Relés y control;Unidad;7,01;8,25;SI;Tarifa instalador junio 2026 (dto 15%)
68;SHY-0068;Splitter 1 to 5 - 3.5 mm Jack (Shelly Pill);Shelly;Splitter 1 to 5 - 3.5 mm Jack (Shelly Pill);Hardware;Relés y control;Unidad;3,23;3,80;SI;Tarifa instalador junio 2026 (dto 15%)
69;SHY-0069;Analog 0 - 30V Add-on (Shelly Pill);Shelly;Analog 0 - 30V Add-on (Shelly Pill);Hardware;Red y conectividad;Unidad;4,42;5,20;SI;Tarifa instalador junio 2026 (dto 15%)
70;SHY-0070;SSR Add-on (Shelly Pill);Shelly;SSR Add-on (Shelly Pill);Hardware;Red y conectividad;Unidad;7,99;9,40;SI;Tarifa instalador junio 2026 (dto 15%)
71;SHY-0071;Micro USB to 5 Terminal Add-on (Shelly Pill);Shelly;Micro USB to 5 Terminal Add-on (Shelly Pill);Hardware;Red y conectividad;Unidad;5,02;5,90;SI;Tarifa instalador junio 2026 (dto 15%)
72;SHY-0072;Temperature Sensor DS18B20 3.5 mm jack (1 meter);;;Hardware;Sensores;Unidad;2,89;3,40;SI;Tarifa instalador junio 2026 (dto 15%)
73;SHY-0073;DC 12V/1A Power adaptor - 20m (WS90);;;Hardware;Relés y control;Unidad;40,50;45,00;SI;Tarifa instalador junio 2026 (dto 10%)
74;SHY-0074;LightSolutions Hilux DS8 Blanco;;;Hardware;Relés y control;Unidad;34,20;38,00;SI;Tarifa instalador junio 2026 (dto 10%)
75;SHY-0075;LightSolutions Hilux DS8 Negro;;;Hardware;Relés y control;Unidad;34,20;38,00;SI;Tarifa instalador junio 2026 (dto 10%)
76;SHY-0076;KIT KANE-8 NYLON (Cuadro, 2 mandos, Fot, 4 CR-N);;;Hardware;Relés y control;Unidad;360,00;450,00;SI;Tarifa instalador junio 2026 (dto 20%)
77;SHY-0077;Shelly Dimmer 0/1-10V PM Gen4;Shelly;Dimmer 0/1-10V PM Gen4;Hardware;Iluminación;Unidad;20,66;24,30;SI;Tarifa instalador junio 2026 (dto 15%)
78;SHY-0078;Bombilla Multicolor Shelly E27 Gen3;Shelly;Bombilla Multicolor Shelly E27 Gen3;Hardware;Iluminación;Unidad;7,13;8,39;SI;Tarifa instalador junio 2026 (dto 15%)
79;SHY-0079;Bombilla Shelly Duo E27 Gen3;Shelly;Bombilla Shelly Duo E27 Gen3;Hardware;Iluminación;Unidad;7,13;8,39;SI;Tarifa instalador junio 2026 (dto 15%)
80;SHY-0080;Interruptor inteligente Bluettoth Shelly BLU Wall Switch 4 + LEGRAND;Shelly;Interruptor inteligente Bluettoth Shelly BLU Wall Switch 4 + LEGRAND;Hardware;Relés y control;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
81;SHY-0081;Shelly Wave Shutter;Shelly;Wave Shutter;Hardware;Persianas y motores;Unidad;32,30;38,00;SI;Tarifa instalador junio 2026 (dto 15%)
82;SHY-0082;Shelly Wave Door/Window LR;Shelly;Wave Door/Window LR;Hardware;Sensores;Unidad;22,40;32,00;SI;Tarifa instalador junio 2026 (dto 30%)
83;SHY-0083;Shelly Wave 1 Mini LR;Shelly;Wave 1 Mini LR;Hardware;Red y conectividad;Unidad;24,80;31,00;SI;Tarifa instalador junio 2026 (dto 20%)
84;SHY-0084;Shelly Wave 1pm Mini LR;Shelly;Wave 1pm Mini LR;Hardware;Red y conectividad;Unidad;23,10;33,00;SI;Tarifa instalador junio 2026 (dto 30%)
85;SHY-0085;Shelly Wave Pro 2pm LR;Shelly;Wave Pro 2pm LR;Hardware;Red y conectividad;Unidad;72,10;103,00;SI;Tarifa instalador junio 2026 (dto 30%)
86;SHY-0086;Shelly Wave Pro 3 (2025)LR;Shelly;Wave Pro 3 (2025)LR;Hardware;Red y conectividad;Unidad;74,20;106,00;SI;Tarifa instalador junio 2026 (dto 30%)
87;SHY-0087;Shelly Pro 3 - Canales 16A libres de potencial;Shelly;Pro 3 - Canales 16A libres de potencial;Hardware;Red y conectividad;Unidad;59,92;74,90;SI;Tarifa instalador junio 2026 (dto 20%)
88;SHY-0088;Shelly Pro Dual Cover PM- Control 2 persianas;Shelly;Pro Dual Cover PM- Control 2 persianas;Hardware;Persianas y motores;Unidad;70,18;87,72;SI;Tarifa instalador junio 2026 (dto 20%)
89;SHY-0089;Shelly 1L Gen3;Shelly;1L Gen3;Hardware;Red y conectividad;Unidad;23,21;27,30;SI;Tarifa instalador junio 2026 (dto 15%)
90;SHY-0090;Shelly 2L Gen3;Shelly;2L Gen3;Hardware;Red y conectividad;Unidad;26,42;31,08;SI;Tarifa instalador junio 2026 (dto 15%)
91;SHY-0091;Shelly Plus I4 DC;Shelly;Plus I4 DC;Hardware;Red y conectividad;Unidad;10,10;11,88;SI;Tarifa instalador junio 2026 (dto 15%)
92;SHY-0092;Shelly Dimmer Gen3;Shelly;Dimmer Gen3;Hardware;Iluminación;Unidad;21,42;25,20;SI;Tarifa instalador junio 2026 (dto 15%)
93;SHY-0093;Shelly PM Mini Gen3;Shelly;PM Mini Gen3;Hardware;Enchufes y consumo;Unidad;11,07;13,02;SI;Tarifa instalador junio 2026 (dto 15%)
94;SHY-0094;Shelly Dimmer 0/1-10V PM Gen3;Shelly;Dimmer 0/1-10V PM Gen3;Hardware;Iluminación;Unidad;18,56;21,84;SI;Tarifa instalador junio 2026 (dto 15%)
95;SHY-0095;Shelly 1PM Mini Gen3;Shelly;1PM Mini Gen3;Hardware;Red y conectividad;Unidad;10,71;12,60;SI;Tarifa instalador junio 2026 (dto 15%)
96;SHY-0096;Shelly 1PM Mini Gen4;Shelly;1PM Mini Gen4;Hardware;Red y conectividad;Unidad;15,71;18,48;SI;Tarifa instalador junio 2026 (dto 15%)
97;SHY-0097;Shelly 3EM-63T GEN3;Shelly;3EM-63T GEN3;Hardware;Enchufes y consumo;Unidad;63,20;79,00;SI;Tarifa instalador junio 2026 (dto 20%)
98;SHY-0098;Shelly 3EM-63W GEN3;Shelly;3EM-63W GEN3;Hardware;Enchufes y consumo;Unidad;63,20;79,00;SI;Tarifa instalador junio 2026 (dto 20%)
99;SHY-0099;Shelly Wave 1 Mini;Shelly;Wave 1 Mini;Hardware;Red y conectividad;Unidad;26,35;31,00;SI;Tarifa instalador junio 2026 (dto 15%)
100;SHY-0100;Shelly Wave PM Mini;Shelly;Wave PM Mini;Hardware;Enchufes y consumo;Unidad;25,50;30,00;SI;Tarifa instalador junio 2026 (dto 15%)
101;SHY-0101;Shelly Wave 1PM Mini;Shelly;Wave 1PM Mini;Hardware;Red y conectividad;Unidad;28,05;33,00;SI;Tarifa instalador junio 2026 (dto 15%)
102;SHY-0102;Shelly Wave Pro 1PM;Shelly;Wave Pro 1PM;Hardware;Red y conectividad;Unidad;62,40;78,00;SI;Tarifa instalador junio 2026 (dto 20%)
103;SHY-0103;Shelly Wave Pro Dimmer 1PM;Shelly;Wave Pro Dimmer 1PM;Hardware;Iluminación;Unidad;62,40;78,00;SI;Tarifa instalador junio 2026 (dto 20%)
104;SHY-0104;Shelly Wave Pro Dimmer 2PM;Shelly;Wave Pro Dimmer 2PM;Hardware;Iluminación;Unidad;76,80;96,00;SI;Tarifa instalador junio 2026 (dto 20%)
105;SHY-0105;Ogemray Smart relay 25A;;;Hardware;Red y conectividad;Unidad;17,20;20,23;SI;Tarifa instalador junio 2026 (dto 15%)
106;SHY-0106;Relé control de persianas Shelly Qubino Wave PRO Shutter 110 - 240V;Shelly;control de persianas Shelly Qubino Wave PRO Shutter 110 - 240V;Hardware;Persianas y motores;Unidad;83,20;104,00;SI;Tarifa instalador junio 2026 (dto 20%)
107;SHY-0107;Relé Shelly Qubino Wave i4 con 4 entradas digitales 110-240V CA;Shelly;Qubino Wave i4 con 4 entradas digitales 110-240V CA;Hardware;Red y conectividad;Unidad;26,35;31,00;SI;Tarifa instalador junio 2026 (dto 15%)
108;SHY-0108;Shelly Plug M Gen3 BLACK;Shelly;Plug M Gen3 BLACK;Hardware;Enchufes y consumo;Unidad;18,56;21,84;SI;Tarifa instalador junio 2026 (dto 15%)
109;SHY-0109;Shelly Plug M Gen3 White;Shelly;Plug M Gen3 White;Hardware;Enchufes y consumo;Unidad;18,56;21,84;SI;Tarifa instalador junio 2026 (dto 15%)
110;SHY-0110;Shelly Plug PM Gen3 Negro;Shelly;Plug PM Gen3 Negro;Hardware;Enchufes y consumo;Unidad;16,65;19,59;SI;Tarifa instalador junio 2026 (dto 15%)
111;SHY-0111;Shelly Plug PM Gen3 Blanco;Shelly;Plug PM Gen3 Blanco;Hardware;Enchufes y consumo;Unidad;16,65;19,59;SI;Tarifa instalador junio 2026 (dto 15%)
112;SHY-0112;Shelly Plug S Gen3 White-MATTER;Shelly;Plug S Gen3 White-MATTER;Hardware;Enchufes y consumo;Unidad;16,92;19,90;SI;Tarifa instalador junio 2026 (dto 15%)
113;SHY-0113;Shelly Plug S Gen3 Black- MATTER;Shelly;Plug S Gen3 Black- MATTER;Hardware;Enchufes y consumo;Unidad;16,92;19,90;SI;Tarifa instalador junio 2026 (dto 15%)
114;SHY-0114;Shelly Duo - bombilla inteligente;Shelly;Duo - bombilla inteligente;Hardware;Iluminación;Unidad;10,12;11,90;SI;Tarifa instalador junio 2026 (dto 15%)
115;SHY-0115;Shelly Duo G10 - bombilla inteligente;Shelly;Duo G10 - bombilla inteligente;Hardware;Iluminación;Unidad;10,12;11,90;SI;Tarifa instalador junio 2026 (dto 15%)
116;SHY-0116;Shelly DUO-RGBW - bombilla inteligente;Shelly;DUO-RGBW - bombilla inteligente;Hardware;Iluminación;Unidad;10,12;11,90;SI;Tarifa instalador junio 2026 (dto 15%)
117;SHY-0117;Shelly Vintage G125 - bombilla inteligente;Shelly;Vintage G125 - bombilla inteligente;Hardware;Iluminación;Unidad;17,77;20,90;SI;Tarifa instalador junio 2026 (dto 15%)
118;SHY-0118;Shelly Vintage A60 - bombilla inteligente;Shelly;Vintage A60 - bombilla inteligente;Hardware;Iluminación;Unidad;10,12;11,90;SI;Tarifa instalador junio 2026 (dto 15%)
119;SHY-0119;Shelly Vintage ST64 - bombilla inteligente;Shelly;Vintage ST64 - bombilla inteligente;Hardware;Iluminación;Unidad;10,12;11,90;SI;Tarifa instalador junio 2026 (dto 15%)
120;SHY-0120;Shelly Plus Plug S;Shelly;Plus Plug S;Hardware;Enchufes y consumo;Unidad;17,00;20,00;SI;Tarifa instalador junio 2026 (dto 15%)
121;SHY-0121;Shelly Wave Outdoor Plug S LR;Shelly;Wave Outdoor Plug S LR;Hardware;Enchufes y consumo;Unidad;47,60;56,00;SI;Tarifa instalador junio 2026 (dto 15%)
122;SHY-0122;Shelly Outdoor Plug S Gen3;Shelly;Outdoor Plug S Gen3;Hardware;Enchufes y consumo;Unidad;22,86;26,89;SI;Tarifa instalador junio 2026 (dto 15%)
123;SHY-0123;Detector de humo Shelly Plus Smoke Alarm;Shelly;Detector de humo Shelly Plus Smoke Alarm;Hardware;Sensores;Unidad;30,03;35,33;SI;Tarifa instalador junio 2026 (dto 15%)
124;SHY-0124;Shelly BLU Puerta/Ventana -negro;Shelly;BLU Puerta/Ventana -negro;Hardware;Sensores;Unidad;11,90;14,00;SI;Tarifa instalador junio 2026 (dto 15%)
125;SHY-0125;Shelly BLU Door/Window - blanco;Shelly;BLU Door/Window - blanco;Hardware;Sensores;Unidad;11,90;14,00;SI;Tarifa instalador junio 2026 (dto 15%)
126;SHY-0126;Shelly BLU Door/Window- Brown;Shelly;BLU Door/Window- Brown;Hardware;Sensores;Unidad;11,90;14,00;SI;Tarifa instalador junio 2026 (dto 15%)
127;SHY-0127;Shelly BLU H&T marfil;Shelly;BLU H&T marfil;Hardware;Sensores;Unidad;15,22;17,90;SI;Tarifa instalador junio 2026 (dto 15%)
128;SHY-0128;Shelly BLU H&T moca;Shelly;BLU H&T moca;Hardware;Sensores;Unidad;15,22;17,90;SI;Tarifa instalador junio 2026 (dto 15%)
129;SHY-0129;Shelly BLU H&T negro;Shelly;BLU H&T negro;Hardware;Sensores;Unidad;15,22;17,90;SI;Tarifa instalador junio 2026 (dto 15%)
130;SHY-0130;Shelly Wave i4 DC;Shelly;Wave i4 DC;Hardware;Sensores;Unidad;26,35;31,00;SI;Tarifa instalador junio 2026 (dto 15%)
131;SHY-0131;Shelly i4 Gen3;Shelly;i4 Gen3;Hardware;Sensores;Unidad;11,42;13,44;SI;Tarifa instalador junio 2026 (dto 15%)
132;SHY-0132;Shelly H&T Gen3- Blanco;Shelly;H&T Gen3- Blanco;Hardware;Sensores;Unidad;27,12;31,90;SI;Tarifa instalador junio 2026 (dto 15%)
133;SHY-0133;Shelly H&T Gen3 Moca;Shelly;H&T Gen3 Moca;Hardware;Sensores;Unidad;27,12;31,90;SI;Tarifa instalador junio 2026 (dto 15%)
134;SHY-0134;Shelly H&T Gen3- Ivory;Shelly;H&T Gen3- Ivory;Hardware;Sensores;Unidad;27,12;31,90;SI;Tarifa instalador junio 2026 (dto 15%)
135;SHY-0135;Shelly H&T Gen3 Negro Mate;Shelly;H&T Gen3 Negro Mate;Hardware;Sensores;Unidad;27,12;31,90;SI;Tarifa instalador junio 2026 (dto 15%)
136;SHY-0136;Shelly BLU Button1 - negro;Shelly;BLU Button1 - negro;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
137;SHY-0137;Shelly BLU Button1 - blanco;Shelly;BLU Button1 - blanco;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
138;SHY-0138;Shelly BLU Button Tough 1- negro;Shelly;BLU Button Tough 1- negro;Hardware;Sensores;Unidad;14,37;16,90;SI;Tarifa instalador junio 2026 (dto 15%)
139;SHY-0139;Shelly Botón BLU Tough 1 Moca;Shelly;Botón BLU Tough 1 Moca;Hardware;Sensores;Unidad;12,67;14,91;SI;Tarifa instalador junio 2026 (dto 15%)
140;SHY-0140;Shelly BLU Button Tough 1- marfil;Shelly;BLU Button Tough 1- marfil;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
141;SHY-0141;Shelly Motion - sensor de movimiento;Shelly;Motion - sensor de movimiento;Hardware;Sensores;Unidad;28,02;32,97;SI;Tarifa instalador junio 2026 (dto 15%)
142;SHY-0142;Shelly BLU Motion;Shelly;BLU Motion;Hardware;Sensores;Unidad;14,76;17,36;SI;Tarifa instalador junio 2026 (dto 15%)
143;SHY-0143;Shelly BLU Wall Switch 4 - Stand-Alone;Shelly;BLU Wall Switch 4 - Stand-Alone;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
144;SHY-0144;Shelly Wall Display X2 Silver+BLU H&T Ivory;Shelly;Wall Display X2 Silver+BLU H&T Ivory;Hardware;Sensores;Unidad;145,27;170,90;SI;Tarifa instalador junio 2026 (dto 15%)
145;SHY-0145;LinkedGo Smart HVAC thermostat;LinkedGo;;Hardware;Climatización;Unidad;77,42;91,08;SI;Tarifa instalador junio 2026 (dto 15%)
